,question_id,bundle_id,correct_answer,part,tags,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag,tag_num,c_rate,id,num,c_num,tag_group
0,0,0,0,1,51 131 162 38,51,131,162,38,-1,-1,"['51', '131', '162', '38']",4,0.9077212806026366,0,6903,6266,0
1,1,1,1,1,131 36 81,131,36,81,-1,-1,-1,"['131', '36', '81']",3,0.8906461205731279,1,7398,6589,9
2,2,2,0,1,131 101 162 92,131,101,162,92,-1,-1,"['131', '101', '162', '92']",4,0.554281260438704,2,44905,24890,0
3,3,3,0,1,131 149 162 29,131,149,162,29,-1,-1,"['131', '149', '162', '29']",4,0.7794367300744353,3,22973,17906,0
4,4,4,3,1,131 5 162 38,131,5,162,38,-1,-1,"['131', '5', '162', '38']",4,0.6132152760272246,4,31736,19461,0
5,5,5,2,1,131 149 162 81,131,149,162,81,-1,-1,"['131', '149', '162', '81']",4,0.8618279017168705,5,9727,8383,0
6,6,6,2,1,10 94 162 92,10,94,162,92,-1,-1,"['10', '94', '162', '92']",4,0.47454458885146455,6,56707,26910,0
7,7,7,0,1,61 110 162 29,61,110,162,29,-1,-1,"['61', '110', '162', '29']",4,0.8660235152246005,7,16585,14363,0
8,8,8,3,1,131 13 162 92,131,13,162,92,-1,-1,"['131', '13', '162', '92']",4,0.9066198008201524,8,8535,7738,0
9,9,9,3,1,10 164 81,10,164,81,-1,-1,-1,"['10', '164', '81']",3,0.30391162928230475,9,47346,14389,15
10,10,10,0,1,131 36 38,131,36,38,-1,-1,-1,"['131', '36', '38']",3,0.6839543579164518,10,31024,21219,12
11,11,11,3,1,51 131 81,51,131,81,-1,-1,-1,"['51', '131', '81']",3,0.8869136540185241,11,6694,5937,15
12,12,12,1,1,51 131 92,51,131,92,-1,-1,-1,"['51', '131', '92']",3,0.7598797674189416,12,20294,15421,15
13,13,13,1,1,131 5 29,131,5,29,-1,-1,-1,"['131', '5', '29']",3,0.8872205538872205,13,8991,7977,12
14,14,14,2,1,131 101 38,131,101,38,-1,-1,-1,"['131', '101', '38']",3,0.7996694214876033,14,15125,12095,2
15,15,15,3,1,61 110 81,61,110,81,-1,-1,-1,"['61', '110', '81']",3,0.7056417836905642,15,20295,14321,15
16,16,16,3,1,131 99 92,131,99,92,-1,-1,-1,"['131', '99', '92']",3,0.4256297113439971,16,5439,2315,11
17,17,17,0,1,131 93 162 29,131,93,162,29,-1,-1,"['131', '93', '162', '29']",4,0.869810655062919,17,8503,7396,0
18,18,18,1,1,61 110 92,61,110,92,-1,-1,-1,"['61', '110', '92']",3,0.8281026423733664,18,20966,17362,15
19,19,19,0,1,10 70 162 81,10,70,162,81,-1,-1,"['10', '70', '162', '81']",4,0.8270872652107486,19,11127,9203,0
20,20,20,2,1,131 149 162 38,131,149,162,38,-1,-1,"['131', '149', '162', '38']",4,0.9754393394029218,20,4723,4607,0
21,21,21,3,1,9 10 162 81,9,10,162,81,-1,-1,"['9', '10', '162', '81']",4,0.7506854161139117,21,11307,8488,0
22,22,22,2,1,131 5 92,131,5,92,-1,-1,-1,"['131', '5', '92']",3,0.8646725523784424,22,7589,6562,9
23,23,23,1,1,9 10 29,9,10,29,-1,-1,-1,"['9', '10', '29']",3,0.7344802694898941,23,8312,6105,15
24,24,24,3,1,9 10 38,9,10,38,-1,-1,-1,"['9', '10', '38']",3,0.6564032858578098,24,16921,11107,15
25,25,25,1,1,9 10 81,9,10,81,-1,-1,-1,"['9', '10', '81']",3,0.7849063687989862,25,21307,16724,15
26,26,26,1,1,131 104 162 92,131,104,162,92,-1,-1,"['131', '104', '162', '92']",4,0.8202570921985816,26,9024,7402,0
27,27,27,1,1,9 10 29,9,10,29,-1,-1,-1,"['9', '10', '29']",3,0.6643461402890377,27,11348,7539,15
28,28,28,2,1,131 104 92,131,104,92,-1,-1,-1,"['131', '104', '92']",3,0.6455671605538014,28,20585,13289,2
29,29,29,0,1,131 13 162 81,131,13,162,81,-1,-1,"['131', '13', '162', '81']",4,0.49626940915507156,29,4959,2461,18
30,30,30,0,1,51 131 162 38,51,131,162,38,-1,-1,"['51', '131', '162', '38']",4,0.8943147815679234,30,8355,7472,0
